---------- Begin Simulation Statistics ----------
system.cpu_cluster.cpus.statFuBusy::SimdDiv            0      0.00%     48.56% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::SimdSqrt            0      0.00%     48.56% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::SimdFloatAdd            0      0.00%     48.56% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::SimdFloatAlu            0      0.00%     48.56% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::SimdFloatCmp            0      0.00%     48.56% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::SimdFloatCvt            0      0.00%     48.56% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::SimdFloatDiv            0      0.00%     48.56% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::SimdFloatMisc            0      0.00%     48.56% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::SimdFloatMult            0      0.00%     48.56% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::SimdFloatMultAcc            0      0.00%     48.56% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::SimdFloatSqrt            0      0.00%     48.56% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::SimdReduceAdd            0      0.00%     48.56% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::SimdReduceAlu            0      0.00%     48.56% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::SimdReduceCmp            0      0.00%     48.56% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::SimdFloatReduceAdd            0      0.00%     48.56% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::SimdFloatReduceCmp            0      0.00%     48.56% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::SimdAes            0      0.00%     48.56% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::SimdAesMix            0      0.00%     48.56% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::SimdSha1Hash            0      0.00%     48.56% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::SimdSha1Hash2            0      0.00%     48.56% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::SimdSha256Hash            0      0.00%     48.56% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::SimdSha256Hash2            0      0.00%     48.56% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::SimdShaSigma2            0      0.00%     48.56% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::SimdShaSigma3            0      0.00%     48.56% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::SimdPredAlu            0      0.00%     48.56% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::MemRead        26142     50.97%     99.53% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::MemWrite          240      0.47%    100.00% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::FloatMemRead            0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::FloatMemWrite            0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::IprAccess            0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::InstPrefetch            0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuNoFree::No_OpClass            0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuNoFree::IntAlu            9      0.02%      0.02% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuNoFree::IntMult        21190     40.39%     40.41% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuNoFree::IntDiv            0      0.00%     40.41% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuNoFree::FloatAdd            0      0.00%     40.41% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuNoFree::FloatCmp            0      0.00%     40.41% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuNoFree::FloatCvt         3730      7.11%     47.52% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuNoFree::FloatMult            0      0.00%     47.52% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuNoFree::FloatMultAcc            0      0.00%     47.52% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuNoFree::FloatDiv            0      0.00%     47.52% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuNoFree::FloatMisc            0      0.00%     47.52% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuNoFree::FloatSqrt            0      0.00%     47.52% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuNoFree::SimdAdd            0      0.00%     47.52% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuNoFree::SimdAddAcc            0      0.00%     47.52% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuNoFree::SimdAlu            0      0.00%     47.52% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuNoFree::SimdCmp            0      0.00%     47.52% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuNoFree::SimdCvt            0      0.00%     47.52% # attempts to use FU when none available (Count)
